global_step,episode_return,episode_length,max_angle_deg,safety_violations
300,-1575.2797,300,179.601,159
600,-1473.7002,300,179.551,151
900,-2262.3411,300,179.991,174
1200,-1392.5365,300,179.938,159
1500,-1709.324,300,179.627,163
1800,-2208.8433,300,179.306,178
2100,-1268.9974,300,179.841,138
2400,-1517.2917,300,179.994,172
2700,-1552.3126,300,179.981,248
3000,-1719.0883,300,179.986,169
3300,-1439.9905,300,179.557,220
3600,-1769.5928,300,177.765,292
3900,-1818.5084,300,179.422,281
4200,-1803.0203,300,179.593,281
4500,-1585.613,300,178.797,241
4800,-1817.3823,300,179.95,296
5100,-1881.2206,300,179.782,289
5400,-1713.4381,300,179.552,274
5700,-1653.993,300,179.814,283
6000,-1545.8228,300,178.764,256
6300,-1568.241,300,179.166,160
6600,-1424.0043,300,179.129,148
6900,-1906.4563,300,179.57,167
7200,-1110.7656,300,179.029,134
7500,-1675.0325,300,179.998,267
7800,-1456.8407,300,179.97,209
8100,-2335.7151,300,179.982,178
8400,-1367.9666,300,178.768,199
8700,-1633.929,300,179.514,272
9000,-1365.099,300,178.935,202
9300,-1446.9938,300,179.82,230
9600,-1552.9572,300,179.8,260
9900,-1744.5646,300,179.589,289
10200,-1768.0757,300,179.256,292
10500,-1386.8989,300,178.342,171
10800,-1632.9325,300,178.614,272
11100,-1345.8873,300,179.637,202
11400,-1666.5151,300,179.818,255
11700,-1251.4972,300,179.561,153
12000,-1605.9089,300,178.51,275
12300,-1387.99,300,177.424,164
12600,-1007.3014,300,179.227,120
12900,-1635.318,300,179.622,257
13200,-1692.3284,300,179.374,191
13500,-1476.6445,300,179.265,228
13800,-1320.8268,300,179.649,192
14100,-1444.5366,300,179.487,158
14400,-1665.5391,300,179.496,286
14700,-1883.9825,300,179.641,285
15000,-1310.4343,300,178.029,144
15300,-1633.2095,300,179.515,279
15600,-1360.847,300,179.428,177
15900,-1545.2571,300,178.575,251
16200,-3034.8745,300,178.132,173
16500,-1605.9757,300,179.82,155
16800,-1679.819,300,177.008,159
17100,-1753.0587,300,179.953,295
17400,-1353.1011,300,179.869,184
17700,-1870.7362,300,179.596,155
18000,-1571.3081,300,179.456,254
18300,-1616.8519,300,179.995,161
18600,-1731.2705,300,179.798,290
18900,-1651.397,300,179.706,278
19200,-1579.6873,300,179.931,158
19500,-1264.182,300,179.228,169
19800,-1564.0219,300,179.28,181
20100,-1807.0808,300,179.939,287
20400,-1360.6575,300,178.334,177
20700,-1629.8511,300,179.915,282
21000,-1766.4773,300,179.628,283
21300,-1494.2275,300,179.868,196
21600,-1503.5747,300,179.397,220
21900,-1477.8225,300,178.816,211
22200,-1447.95,300,178.76,224
22500,-1433.8356,300,179.992,216
22800,-1445.0294,300,179.922,201
23100,-1553.7837,300,179.085,167
23400,-1474.4263,300,179.991,212
23700,-1762.3336,300,179.961,296
24000,-1761.7384,300,179.46,284
24300,-2054.3762,300,179.573,175
24600,-1356.278,300,178.957,201
24900,-1562.1385,300,179.376,245
25200,-1755.6788,300,179.299,159
25500,-1324.0629,300,178.056,175
25800,-1227.1472,300,179.972,156
26100,-2118.446,300,177.372,171
26400,-1348.4963,300,179.965,190
26700,-1897.955,300,179.324,170
27000,-1342.9918,300,179.122,192
27300,-1711.0684,300,179.683,166
27600,-1363.3326,300,179.208,191
27900,-1654.803,300,179.874,289
28200,-1379.0459,300,178.878,143
28500,-1384.7124,300,178.075,162
28800,-1481.8499,300,179.929,243
29100,-1568.4132,300,179.504,258
29400,-1635.3666,300,179.449,276
29700,-1712.965,300,179.42,287
30000,-1740.1536,300,178.672,288
30300,-1585.1135,300,179.355,157
30600,-1551.2743,300,178.505,249
30900,-2057.7278,300,178.331,177
