global_step,iteration,episode_return,episode_length,max_angle_deg,safety_violations,mean_u_cbf,max_u_cbf
300,1,-0.2557,300,4.256,0,0.831338,10.8479
600,1,-274.0443,300,55.26,0,4.015962,8.4742
900,1,-300.3409,300,57.399,282,4.087201,10.1917
1200,1,-296.2413,300,57.351,279,4.196293,11.6112
1500,1,-264.4255,300,54.153,0,3.940615,11.2061
1800,1,-305.3867,300,57.351,292,4.323164,7.3349
2100,1,-305.3589,300,57.351,291,4.239553,7.6984
2400,1,-271.3351,300,54.153,0,3.930643,8.6195
2700,1,-305.7259,300,57.351,293,4.151436,7.0564
3000,1,-303.7697,300,57.351,288,4.141015,8.3704
3300,2,-243.5114,300,54.153,0,1.75282,5.1119
3600,2,-288.5296,300,57.391,68,0.334109,2.5543
3900,2,-211.455,300,54.153,0,1.456132,4.5717
4200,2,-272.2671,300,54.153,0,1.969744,5.2398
4500,2,-271.7141,300,54.153,0,1.856886,4.4852
4800,2,-269.9535,300,54.153,0,1.961339,4.6775
5100,2,-299.2816,300,57.369,79,0.386915,3.366
5400,2,-211.0439,300,54.153,0,1.531211,4.7037
5700,2,-272.0969,300,54.153,0,1.976706,4.9127
6000,2,-273.8535,300,57.379,68,0.299972,3.6636
6300,3,-103.4232,300,54.963,0,0.005791,1.008
6600,3,-182.9213,300,55.194,0,0.011749,1.3973
6900,3,-67.7787,300,44.192,0,0.0,0.0
7200,3,-96.4183,300,51.728,0,0.0,0.0
7500,3,-85.6485,300,52.15,0,0.0,0.0
7800,3,-244.6577,300,55.194,0,0.059849,1.8159
8100,3,-126.0551,300,55.183,0,0.034862,3.0776
8400,3,-63.6192,300,41.773,0,0.0,0.0
8700,3,-168.3665,300,55.237,0,0.024759,3.4905
9000,3,-77.1013,300,42.663,0,0.0,0.0
9300,4,-46.7651,300,49.429,0,0.0,0.0
9600,4,-50.5849,300,46.456,0,0.0,0.0
9900,4,-61.3386,300,37.157,0,0.0,0.0
10200,4,-40.9139,300,36.656,0,0.0,0.0
10500,4,-90.8817,300,47.457,0,0.0,0.0
10800,4,-41.9661,300,33.498,0,0.0,0.0
11100,4,-20.5162,300,27.909,0,0.0,0.0
11400,4,-101.2514,300,39.617,0,0.0,0.0
11700,4,-24.6497,300,30.645,0,0.0,0.0
12000,4,-34.3166,300,30.961,0,0.0,0.0
12300,5,-29.8522,300,44.914,0,0.0,0.0
12600,5,-20.5315,300,33.286,0,0.0,0.0
12900,5,-52.2183,300,47.431,0,0.0,0.0
13200,5,-55.8976,300,56.613,0,0.021163,1.3567
13500,5,-34.2576,300,54.222,0,0.0,0.0
13800,5,-24.0474,300,29.905,0,0.0,0.0
14100,5,-13.7938,300,27.193,0,0.0,0.0
14400,5,-38.7782,300,41.189,0,0.0,0.0
14700,5,-29.086,300,43.315,0,0.0,0.0
15000,5,-27.6107,300,36.255,0,0.0,0.0
15300,6,-35.853,300,55.916,0,0.001946,0.5838
15600,6,-33.021,300,55.428,0,0.002212,0.3786
15900,6,-32.3136,300,50.404,0,0.0,0.0
16200,6,-9.5016,300,18.755,0,0.0,0.0
16500,6,-16.1231,300,25.01,0,0.0,0.0
16800,6,-12.1369,300,22.925,0,0.0,0.0
17100,6,-42.4858,300,45.556,0,0.0,0.0
17400,6,-12.8301,300,20.747,0,0.0,0.0
17700,6,-22.6288,300,27.478,0,0.0,0.0
18000,6,-18.3092,300,42.79,0,0.0,0.0
18300,7,-26.1839,300,34.066,0,0.0,0.0
18600,7,-13.4216,300,51.314,0,0.0,0.0
18900,7,-15.006,300,41.094,0,0.0,0.0
19200,7,-7.3724,300,15.378,0,0.0,0.0
19500,7,-28.6155,300,41.754,0,0.0,0.0
19800,7,-18.6287,300,40.199,0,0.0,0.0
20100,7,-35.6133,300,52.645,0,0.0,0.0
20400,7,-26.3621,300,40.744,0,0.0,0.0
20700,7,-29.646,300,40.96,0,0.0,0.0
21000,7,-10.1028,300,30.089,0,0.0,0.0
21300,8,-8.0062,300,17.294,0,0.0,0.0
21600,8,-5.2539,300,14.487,0,0.0,0.0
21900,8,-25.6882,300,51.462,0,0.0,0.0
22200,8,-7.0979,300,26.512,0,0.0,0.0
22500,8,-15.3588,300,27.654,0,0.0,0.0
22800,8,-8.7221,300,22.718,0,0.0,0.0
23100,8,-19.0233,300,46.746,0,0.0,0.0
23400,8,-14.7812,300,44.494,0,0.0,0.0
23700,8,-13.2474,300,49.304,0,0.0,0.0
24000,8,-15.0244,300,32.953,0,0.0,0.0
24300,9,-28.5537,300,54.914,0,0.002787,0.8362
24600,9,-26.0323,300,49.173,0,0.0,0.0
24900,9,-15.7705,300,33.149,0,0.0,0.0
25200,9,-4.6587,300,13.196,0,0.0,0.0
25500,9,-5.7437,300,16.586,0,0.0,0.0
25800,9,-14.8281,300,35.29,0,0.0,0.0
26100,9,-14.2796,300,31.07,0,0.0,0.0
26400,9,-40.6074,300,53.445,0,0.0,0.0
26700,9,-8.9755,300,19.027,0,0.0,0.0
27000,9,-5.3579,300,12.583,0,0.0,0.0
27300,10,-4.8463,300,13.523,0,0.0,0.0
27600,10,-5.9115,300,23.617,0,0.0,0.0
27900,10,-13.9681,300,41.855,0,0.0,0.0
28200,10,-4.5865,300,15.249,0,0.0,0.0
28500,10,-27.3179,300,50.315,0,0.0,0.0
28800,10,-8.2369,300,18.599,0,0.0,0.0
29100,10,-29.0658,300,54.556,0,0.0,0.0
29400,10,-25.0985,300,55.261,0,0.017224,5.1672
29700,10,-18.9945,300,53.904,0,0.0,0.0
30000,10,-8.5096,300,24.949,0,0.0,0.0
30300,11,-3.4157,300,9.318,0,0.0,0.0
30600,11,-13.0359,300,41.174,0,0.0,0.0
30900,11,-4.3757,300,10.779,0,0.0,0.0
31200,11,-10.8714,300,30.125,0,0.0,0.0
