global_step,iteration,policy_loss,value_loss,compensator_loss,mean_u_cbf_batch,max_u_cbf_batch,cbf_active_frac,explained_variance,approx_kl
3000,1,0.001338,561.535339,2.278049,3.785722,11.6112,0.979,0.0054,0.002208
6000,2,-0.005224,530.385132,0.774625,1.352583,5.2398,0.729,0.001,0.001867
9000,3,-0.006178,131.528107,0.018528,0.013701,3.4905,0.0193,-0.0057,0.005795
12000,4,-0.014916,20.065453,0.0,0.0,0.0,0.0,-0.0038,0.006129
15000,5,-0.002861,7.964197,0.001552,0.002116,1.3567,0.0037,-0.0216,0.003348
18000,6,0.002065,3.468033,0.000167,0.000416,0.5838,0.0013,-0.0606,0.002342
21000,7,0.004899,3.444295,0.0,0.0,0.0,0.0,-0.0226,0.005642
24000,8,-0.005563,0.641367,0.0,0.0,0.0,0.0,-0.0542,0.003565
27000,9,0.002439,3.858913,0.000214,0.000279,0.8362,0.0003,-0.0787,0.001992
30000,10,-0.004768,0.725524,0.007687,0.001722,5.1672,0.0003,-0.061,0.005515
33000,11,-0.001507,1.186209,0.0,0.0,0.0,0.0,-0.0183,0.00368
36000,12,-0.016749,0.641271,0.003773,0.0013,3.9007,0.0003,-0.0094,0.003279
39000,13,-0.000176,0.398496,0.009787,0.002134,6.4006,0.0003,0.0064,0.003185
42000,14,-0.001238,0.3266,1e-06,0.0,0.0,0.0,0.0513,0.001963
45000,15,-0.000968,0.241735,0.0,0.0,0.0,0.0,0.0741,0.001155
48000,16,-0.008605,0.214808,0.0,0.0,0.0,0.0,0.1072,0.001811
51000,17,0.000144,0.141804,0.000169,0.000284,0.8527,0.0003,0.1826,0.005558
54000,18,-0.005096,0.272864,0.0,0.0,0.0,0.0,0.1201,0.001781
57000,19,0.000889,0.073049,0.0,0.0,0.0,0.0,0.1888,0.00351
60000,20,-0.000653,0.135346,0.0,0.0,0.0,0.0,0.2512,0.002792
63000,21,-0.006092,0.200197,0.0,0.0,0.0,0.0,0.2065,0.00508
66000,22,-0.006597,0.357905,0.0,0.0,0.0,0.0,0.3301,0.001038
69000,23,-0.007631,0.043189,0.0,0.0,0.0,0.0,0.4093,0.001274
