global_step,iteration,episode_return,episode_length,max_angle,safety_violations,mean_u_cbf,max_u_cbf
300,1,-105.9414,300,7.314,0,13.533511,17.953
600,1,-361.847,300,71.759,107,5.26057,17.2742
900,1,-246.1249,300,53.46,0,3.676987,17.4176
1200,1,-277.2768,300,57.45,8,3.958038,16.9179
1500,1,-215.2445,300,50.503,0,3.507145,17.2887
1800,1,-285.392,300,58.017,12,4.05181,16.7808
2100,1,-285.2839,300,57.845,11,3.975511,17.5578
2400,1,-217.043,300,49.87,0,3.498518,16.3505
2700,1,-287.2397,300,57.954,17,3.900662,17.6768
3000,1,-285.1435,300,57.908,14,3.901728,18.2948
3300,2,-179.174,300,49.812,0,1.215204,12.302
3600,2,-264.6229,300,56.062,0,0.467446,11.2373
3900,2,-176.6314,300,55.581,0,0.178882,8.5206
4200,2,-215.2319,300,49.956,0,1.539374,13.3138
4500,2,-211.0826,300,49.754,0,1.411462,13.1782
4800,2,-212.3435,300,49.908,0,1.552482,13.1077
5100,2,-262.8101,300,56.209,0,0.512263,10.3503
5400,2,-90.1308,300,49.796,0,0.556731,12.8292
5700,2,-213.3523,300,50.184,0,1.542881,13.3256
6000,2,-208.6478,300,55.659,0,0.259051,10.4067
6300,3,-195.3729,300,52.367,0,0.123916,7.305
6600,3,-66.9847,300,37.512,0,0.0,0.0
6900,3,-152.2099,300,52.263,0,0.188291,9.3488
7200,3,-135.9564,300,52.237,0,0.093952,8.6519
7500,3,-227.6085,300,52.624,0,0.217729,10.1219
7800,3,-253.8517,300,55.727,0,0.164829,10.7252
8100,3,-144.6816,300,52.224,0,0.07911,10.6182
8400,3,-219.128,300,52.376,0,0.235245,9.8324
8700,3,-251.9538,300,56.001,0,0.154986,9.1461
9000,3,-231.1322,300,52.546,0,0.233609,9.829
9300,4,-254.0355,300,55.088,0,0.064006,8.9053
9600,4,-245.7503,300,54.903,0,0.064479,8.7442
9900,4,-99.4653,300,53.084,0,0.0,0.0
10200,4,-74.3655,300,49.377,0,0.0,0.0
10500,4,-116.6899,300,54.315,0,0.020109,6.0327
10800,4,-141.3444,300,53.896,0,0.024668,7.4005
11100,4,-204.9326,300,54.338,0,0.062507,9.0986
11400,4,-60.9393,300,39.328,0,0.0,0.0
11700,4,-216.4568,300,53.585,0,0.047799,6.9991
12000,4,-195.0757,300,54.074,0,0.099693,8.0862
12300,5,-209.1454,300,52.505,0,0.0,0.0
12600,5,-180.7694,300,54.603,0,0.003753,0.9497
12900,5,-141.5761,300,48.25,0,0.0,0.0
13200,5,-175.486,300,53.048,0,0.02037,6.111
13500,5,-234.8858,300,54.222,0,0.0,0.0
13800,5,-89.2933,300,52.683,0,0.0,0.0
14100,5,-206.8017,300,52.703,0,0.0,0.0
14400,5,-214.618,300,52.838,0,0.0,0.0
14700,5,-71.9716,300,44.161,0,0.0,0.0
15000,5,-212.2899,300,53.054,0,0.0,0.0
15300,6,-228.5374,300,55.264,0,0.033057,9.917
15600,6,-233.1316,300,52.41,0,0.052048,6.6806
15900,6,-207.9356,300,54.31,0,0.0,0.0
16200,6,-166.4369,300,51.945,0,0.020537,3.2379
16500,6,-179.999,300,52.414,0,0.075019,5.6574
16800,6,-132.3785,300,52.061,0,0.008204,2.4612
17100,6,-236.2925,300,53.002,0,0.06279,8.5641
17400,6,-155.7731,300,52.592,0,0.023038,3.0292
17700,6,-202.2499,300,53.008,0,0.080384,6.8623
18000,6,-220.9756,300,53.141,0,0.058684,8.5168
18300,7,-82.189,300,47.574,0,0.0,0.0
18600,7,-210.5128,300,51.314,0,0.108998,7.947
18900,7,-205.6843,300,49.394,0,0.070811,7.1022
19200,7,-161.8164,300,49.047,0,0.02256,4.2699
19500,7,-202.1366,300,49.709,0,0.0814,6.3444
19800,7,-200.9198,300,49.809,0,0.110113,8.5636
20100,7,-207.517,300,55.782,0,0.047789,8.8284
20400,7,-200.994,300,49.414,0,0.079543,7.5769
20700,7,-67.881,300,41.697,0,0.0,0.0
21000,7,-194.1246,300,49.857,0,0.089323,7.7035
21300,8,-87.0428,300,49.512,0,0.0,0.0
21600,8,-154.0221,300,50.509,0,0.0,0.0
21900,8,-109.1163,300,51.462,0,0.053774,9.7687
22200,8,-64.7489,300,46.045,0,0.0,0.0
22500,8,-190.9465,300,51.508,0,0.0,0.0
22800,8,-80.4556,300,46.486,0,0.0,0.0
23100,8,-69.1074,300,45.938,0,0.0,0.0
23400,8,-206.4993,300,50.914,0,0.0,0.0
23700,8,-212.3261,300,49.995,0,0.0,0.0
24000,8,-186.0727,300,49.556,0,0.0,0.0
24300,9,-207.8895,300,50.738,0,0.01835,5.505
24600,9,-203.4641,300,50.157,0,0.01344,4.032
24900,9,-169.2277,300,46.522,0,0.0,0.0
25200,9,-145.5417,300,47.076,0,0.0,0.0
25500,9,-84.7994,300,45.28,0,0.0,0.0
25800,9,-38.6512,300,35.29,0,0.0,0.0
26100,9,-191.9624,300,50.657,0,0.034737,5.6833
26400,9,-205.3717,300,51.785,0,0.029356,5.3664
